label,dt_exact,dx,kappa_x,nproc,nx,solvetime,error
9b9ef0db6e0d,0.001,0.00125,0.0004,16.0,800.0,15584.781343,8.33825429832e-05
c83139eb99ee,0.001,0.0025,0.0004,16.0,400.0,8359.77001595,0.000336678222744
5a95e27bbb3f,0.001,0.005,0.0004,16.0,200.0,4716.07367682,0.00138940163034
6b6c31c3c5ad,0.001,0.01,0.0004,16.0,100.0,3751.86999583,0.00675113777427
