label,dt_exact,kappa_x,nproc,nx,solvetime,error
855d33e99840,0.0001,0.0004,16.0,800.0,46194.7349842,8.33464331591e-05
774cc432e35d,0.000316230532058,0.0004,16.0,800.0,17603.4992568,8.27390165428e-05
0a9c58e9fe91,0.001,0.0004,16.0,800.0,5981.19615793,8.13077927371e-05
2832e44da4df,0.00316330565441,0.0004,16.0,800.0,2016.64375091,8.19162209931e-05
7d8e9580729f,0.01,0.0004,16.0,800.0,674.424558878,0.000124138152835
a54e56278c24,0.031746031746,0.0004,16.0,800.0,291.31242013,0.000356279526103
e0315a73e265,0.1,0.0004,16.0,800.0,176.11216116,0.00113078712361
43d0f2aec411,0.32,0.0004,16.0,800.0,123.340027809,0.0035169373555
